,Actual label,Predicted value,Predicted label
0,1,0.99999475,1
1,0,0.06017962,0
2,1,0.999997,1
3,1,0.9977416,1
4,1,0.9870003,1
5,1,0.9999959,1
6,1,0.99999404,1
7,1,0.99925524,1
8,0,0.06017962,0
9,1,0.99999976,1
10,1,0.99999976,1
11,1,0.99730194,1
12,1,1.0,1
13,1,0.9986497,1
14,1,0.9999917,1
15,1,0.9999892,1
16,1,1.0,1
17,0,0.22150463,0
18,1,0.99999,1
19,1,0.99999994,1
20,1,0.9999999,1
21,1,0.9999999,1
22,0,1.7881393e-07,0
23,1,0.99999964,1
24,1,0.9779325,1
25,1,0.9999999,1
26,1,1.0,1
27,0,0.0,0
28,1,0.99474025,1
29,1,0.99999964,1
30,1,0.9999999,1
31,1,0.99999905,1
32,1,0.9999999,1
33,1,0.99794465,1
34,0,0.06017962,0
35,1,0.9999992,1
36,1,0.9999999,1
37,0,0.06017962,0
38,1,0.9929321,1
39,0,0.06017962,0
40,1,0.9999996,1
41,1,0.9994087,1
42,1,1.0,1
43,1,0.99853235,1
44,0,0.06017962,0
45,1,0.985893,1
46,0,0.06017962,0
47,1,0.99997497,1
48,1,0.9999999,1
49,1,0.9999608,1
